"bsn_code","zip_code","tier_1","tier_2","tier_3","tier_4","tier_5","tier_6","tier_7","tier_8","tier_9","tier_10","service_code"
"KYB","60189","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60188","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60187","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60138","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60134","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60137","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60131","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60132","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60133","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60135","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60136","5000","4500","4000","3500","3000","2800","","","","","PGD"
"KYB","60186","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60185","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60264","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60261","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60265","5000","4500","4000","3500","3000","2900","","","","","PGD"
"KYB","60262","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60263","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60292","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60291","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60299","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60227","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60229","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60228","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60239","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60237","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60238","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60236","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60241","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60244","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60246","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60245","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60242","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60243","5000","4500","4000","3500","3000","","","","","","PGD"
